Index,DigitZero,DigitOne,DigitTwo,DigitThree,DigitFour,DigitFive,DigitSix,DigitSeven,DigitEight,DigitNine,mean,std
0,0.0074,0.0039,0.0055,0.0063,0.0059,0.0053,0.0056,0.0049,0.0067,0.0049,0.0056,0.0010
1,0.0083,0.0047,0.0065,0.0074,0.0065,0.0064,0.0064,0.0057,0.0075,0.0057,0.0065,0.0010
2,0.0090,0.0054,0.0074,0.0081,0.0075,0.0072,0.0072,0.0066,0.0079,0.0064,0.0073,0.0010
3,0.0103,0.0060,0.0080,0.0088,0.0081,0.0077,0.0079,0.0071,0.0089,0.0069,0.0080,0.0012
4,0.0107,0.0066,0.0089,0.0097,0.0089,0.0082,0.0085,0.0078,0.0098,0.0076,0.0087,0.0012
5,0.0116,0.0073,0.0098,0.0109,0.0094,0.0088,0.0092,0.0084,0.0110,0.0082,0.0095,0.0014
6,0.0124,0.0079,0.0102,0.0116,0.0102,0.0092,0.0097,0.0090,0.0115,0.0091,0.0101,0.0014
7,0.0129,0.0086,0.0106,0.0121,0.0107,0.0105,0.0104,0.0093,0.0115,0.0094,0.0106,0.0013
8,0.0138,0.0089,0.0112,0.0128,0.0116,0.0118,0.0111,0.0100,0.0122,0.0101,0.0113,0.0014
9,0.0153,0.0097,0.0116,0.0134,0.0123,0.0126,0.0115,0.0106,0.0126,0.0107,0.0120,0.0016
mean,0.0112,0.0069,0.0090,0.0101,0.0091,0.0088,0.0087,0.0080,0.0100,0.0079,0.0090,0.0012
std,0.0025,0.0019,0.0021,0.0024,0.0021,0.0023,0.0020,0.0019,0.0021,0.0019,0.0021,0.0002
